S.ID,r01,r12,r23,r3x,r02,r13,r2x,C0r1,C0,C1,C2,C3,C4r1,C4,C5,C5m,C6r1,C6r2,C6,C6m,S.TEXT,end3,Pattern,Edit,Origin,V.ID,V.freq
s260,0.2,0.47,0.21,0.13,0.67,0.67,0.33,A,A,A,UNA,A,X,A,X,X,X,X,X,X,見解をその芸能人が質問者に会見で答えた。,答えた,p3,s,,v116,116
s261,0.34,0.52,0.1,0.04,0.85,0.62,0.15,A,A,A,A,A,A,A,A,A,X,X,X,X,解雇を口頭で社員に社長が伝えた。,伝えた,p2,s,o08,v111,111
s262,0.02,0.13,0.29,0.55,0.16,0.43,0.84,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,幼児が肩車で枝に手を送った。,送った,p2,v,o12,v183,183
s263,0.17,0.43,0.27,0.13,0.6,0.7,0.40,A,A,A,UNA,A,X,A,X,X,X,X,X,X,医学生が解剖実習で医師に看護師と教わった。,わった,p1,v,o33,v958,958
s264,0.13,0.23,0.5,0.13,0.36,0.73,0.64,UNA,UNA,UNA,UNA,UNA,X,UNA,X,X,Y,Y,X,X,ランナーが路上で悲鳴から夕暮れ時に聞こえた。,こえた,p3,p,o10,v145,145
s265,0.43,0.32,0.14,0.11,0.74,0.46,0.26,A,A,A,A,A,A,A,A,A,A,A,A,A,伝書鳩が戦地で戦況を司令分掌に届けた。,届けた,p3,n,o29,v831,831
s266,0.21,0.36,0.25,0.18,0.57,0.61,0.43,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,先生が赤ペンで一から文章を戻した。,戻した,p4,v,o27,v807,807
s267,0.78,0.14,0.02,0.05,0.92,0.17,0.08,A,A,A,A,A,A,A,A,A,A,A,A,A,医師が手術で血管と神経をつないだ。,ないだ,p5,o,o17,v447,447
s268,0.25,0.27,0.28,0.21,0.52,0.54,0.48,A,A,UNA,UNA,A,X,X,X,X,Y,Y,X,X,通り魔が休日の路上で通行者を不意に苛(さいな)んだ。,)んだ,p3,v,o22,v470,470
s269,0.1,0.45,0.27,0.18,0.56,0.72,0.44,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,新婚さんが役所で窓口に転居書類と届けた。,届けた,p1,n,o30,v831,831
s270,0.74,0.2,0.03,0.03,0.94,0.23,0.06,A,A,A,A,A,A,A,A,A,A,A,A,A,家で弟が妹と料理を習った。,習った,p5,s,o31,v958,958
s271,0.19,0.41,0.25,0.15,0.61,0.66,0.39,A,A,A,UNA,A,X,A,X,X,X,X,X,X,後輩が現場で先輩から基礎で習った。,習った,p4,p,o34,v958,958
s272,0.12,0.38,0.25,0.24,0.5,0.64,0.50,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,捕虜が忠誠心から秘密を尋問で黙った。,黙った,p4,s,,v326,326
s273,0.73,0.22,0.05,0.01,0.94,0.26,0.06,A,A,A,A,A,A,A,A,A,A,A,A,A,後輩が現場で同僚から基礎を習った。,習った,p4,n,o34,v958,958
s274,0.1,0.48,0.25,0.17,0.58,0.72,0.42,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,母がキッチンで早朝にラジオを聞けた。,聞けた,p2,v,o03,v18,18
s275,0.16,0.49,0.16,0.2,0.64,0.64,0.36,A,A,A,A,A,X,A,A,A,X,X,X,X,私が遊園地でインフルエンザに家族と感染した。,染した,p1,o,o36,v1197,1197
s276,0.66,0.27,0.06,0.01,0.93,0.33,0.07,A,A,A,A,A,A,A,A,A,A,A,A,A,脚本家が話し合いで前日にフレーズを直した。,直した,p2,n,o25,v807,807
s277,0.12,0.24,0.22,0.42,0.36,0.46,0.64,UNA,UNA,UNA,UNA,UNA,X,UNA,UNA,UNA,UNA,UNA,UNA,UNA,青年が震災で救出時に飼い主と助かった。,かった,p1,n,o28,v829,829
s278,0.03,0.26,0.27,0.45,0.28,0.53,0.72,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,社長が口頭で社員に解雇を伝わった。,わった,p2,v,o08,v111,111
s279,0.44,0.09,0.03,0.44,0.53,0.12,0.47,A,A,UNA,UNA,A,X,X,A,A,A,A,A,A,母がキッチンで早朝にラジオを聞いた。,聞いた,p2,o,o03,v18,18
s280,0.02,0.28,0.28,0.43,0.29,0.56,0.71,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,新婚さんが役所が窓口に転居届と届けた。,届けた,p1,p,o30,v831,831
s281.0,0.02,0.08,0.28,0.62,0.09,0.36,0.91,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,夫が職場で真夜中に妻へ知り合った。,合った,p1,p,,v1147,1147
s281.1,0.02,0.12,0.33,0.53,0.14,0.45,0.86,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,夫が職場で真夜中に妻へ知り合った。,合った,p1,p,,v1147,1147
s281.2,0.02,0.1,0.31,0.57,0.13,0.41,0.87,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,夫が職場で真夜中に妻へ知り合った。,合った,p1,p,,v1147,1147
s281.3,0.1,0.31,0.49,0.1,0.41,0.8,0.59,UNA,UNA,UNA,UNA,UNA,X,X,X,X,Y,Y,X,X,夫が職場で真夜中に妻へ知り合った。,合った,p1,p,,v1147,1147
s281.4,0.02,0.11,0.36,0.51,0.13,0.47,0.87,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,夫が職場で真夜中に妻へ知り合った。,合った,p1,p,,v1147,1147
s281.5,0.01,0.07,0.33,0.59,0.08,0.4,0.92,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,夫が職場で真夜中に妻へ知り合った。,合った,p1,p,,v1147,1147
s281.6,0.01,0.1,0.27,0.62,0.11,0.37,0.89,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,夫が職場で真夜中に妻へ知り合った。,合った,p1,p,,v1147,1147
s281.7,0.01,0.11,0.33,0.54,0.12,0.44,0.88,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,夫が職場で真夜中に妻へ知り合った。,合った,p1,p,,v1147,1147
s281.8,0.02,0.1,0.24,0.64,0.12,0.34,0.88,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,夫が職場で真夜中に妻へ知り合った。,合った,p1,p,,v1147,1147
s281.9,0.02,0.11,0.3,0.57,0.13,0.41,0.87,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,夫が職場で真夜中に妻へ知り合った。,合った,p1,p,,v1147,1147
s282.0,0.22,0.4,0.24,0.14,0.62,0.64,0.38,A,A,A,UNA,A,X,A,X,X,X,X,X,X,学生が合格発表の場で足下から幸福を感じた。,感じた,p4,n,,v44,44
s282.1,0.17,0.43,0.26,0.14,0.61,0.69,0.39,A,A,A,UNA,A,X,A,X,X,X,X,X,X,学生が合格発表の場で足下から幸福を感じた。,感じた,p4,n,,v44,44
s282.2,0.25,0.37,0.22,0.16,0.62,0.59,0.38,A,A,A,A,A,X,A,A,A,X,X,X,X,学生が合格発表の場で足下から幸福を感じた。,感じた,p4,n,,v44,44
s282.3,0.22,0.4,0.22,0.16,0.61,0.62,0.39,A,A,A,UNA,A,X,A,X,X,X,X,X,X,学生が合格発表の場で足下から幸福を感じた。,感じた,p4,n,,v44,44
s282.4,0.19,0.47,0.24,0.11,0.65,0.71,0.35,A,A,A,UNA,A,X,A,X,X,X,X,X,X,学生が合格発表の場で足下から幸福を感じた。,感じた,p4,n,,v44,44
s282.5,0.22,0.45,0.21,0.13,0.66,0.66,0.34,A,A,A,A,A,X,A,A,A,X,X,X,X,学生が合格発表の場で足下から幸福を感じた。,感じた,p4,n,,v44,44
s282.6,0.24,0.43,0.2,0.13,0.66,0.63,0.34,A,A,A,A,A,X,A,A,A,X,X,X,X,学生が合格発表の場で足下から幸福を感じた。,感じた,p4,n,,v44,44
s282.7,0.27,0.37,0.24,0.12,0.64,0.62,0.36,A,A,A,A,A,X,A,A,A,X,X,X,X,学生が合格発表の場で足下から幸福を感じた。,感じた,p4,n,,v44,44
s282.8,0.22,0.38,0.22,0.19,0.6,0.6,0.40,A,A,UNA,A,A,X,X,A,A,X,X,X,X,学生が合格発表の場で足下から幸福を感じた。,感じた,p4,n,,v44,44
s282.9,0.19,0.46,0.22,0.14,0.65,0.68,0.35,A,A,A,UNA,A,X,A,X,X,X,X,X,X,学生が合格発表の場で足下から幸福を感じた。,感じた,p4,n,,v44,44
,NA,NA,NA,NA,NA,NA,A,146,144,110,99,144,94,110,108,108,81,81,81,81,,,,,,,NA
,NA,NA,NA,NA,NA,NA,X,0,0,0,0,2,115,74,82,85,94,96,127,132,,,,,,,NA
,NA,NA,NA,NA,NA,NA,Y,0,0,0,0,0,0,0,0,0,33,36,0,0,,,,,,,NA
,NA,NA,NA,NA,NA,NA,UNA,154,156,190,201,154,91,116,110,107,92,87,92,87,,,,,,,NA
,NA,NA,NA,NA,NA,NA,sum,300,300,300,300,300,300,300,300,300,300,300,300,300,,,,,,,NA
